id,type,trigger_ts,reaction_ts,solved_ts,scheduler_latency,machine_latency
nM0-076,newMachine,1764691552735,1764691563925,1764691567737,11190,3812
nM0-077,newMachine,1764691552735,1764691563925,1764691567737,11190,3812
nM0-078,newMachine,1764691552735,1764691563926,1764691567737,11191,3811
nM0-079,newMachine,1764691633888,1764691633895,1764691638889,7,4994
sA-003,storageAlert,1764691986781,1764691996600,1764691998605,9819,2005
sA-004,storageAlert,1764692226834,1764692234086,1764692236096,7252,2010
sA-005,storageAlert,1764692286850,1764692294097,1764692296105,7247,2008
nM0-080,newMachine,1764692388899,1764692388905,1764692393898,6,4993
nM2-081,newMachine,1764692505339,1764692505346,1764692510340,7,4994
nM4-082,newMachine,1764692550806,1764692550811,1764692555806,5,4995
nM2-083,newMachine,1764692672499,1764692672511,1764692677500,12,4989
nM1-084,newMachine,1764692784302,1764692789558,1764692794303,5256,4745
nM4-085,newMachine,1764693149920,1764693154927,1764693159922,5007,4995
nM3-086,newMachine,1764693185471,1764693185477,1764693190471,6,4994
nM1-087,newMachine,1764693231040,1764693241050,1764693246041,10010,4991
nM2-088,newMachine,1764693312416,1764693327632,1764693332419,15216,4787
nM3-089,newMachine,1764693342674,1764693342688,1764693347675,14,4987
nM1-090,newMachine,1764693464599,1764693464606,1764693469600,7,4994
nM0-091,newMachine,1764693906461,1764693911475,1764693916463,5014,4988
nM3-092,newMachine,1764693941935,1764693943153,1764693946936,1218,3783
mF0-001,machineFailure,1764694249302,1764694254089,1764694256103,4787,2014
mF4-002,machineFailure,1764694258176,1764694259090,1764694261102,914,2012
nM1-093,newMachine,1764694287386,1764694299856,1764694302388,12470,2532
nM1-094,newMachine,1764694287386,1764694299858,1764694302388,12472,2530
nM4-095,newMachine,1764694363408,1764694363414,1764694368408,6,4994
sA-006,storageAlert,1764694617831,1764694627171,1764694627175,9340,4
nM1-096,newMachine,1764694632818,1764694651392,1764694652819,18574,1427
nM1-097,newMachine,1764694632818,1764694651395,1764694652819,18577,1424
sA-007,storageAlert,1764694697867,1764694697879,1764694697883,12,4
nM3-098,newMachine,1764694851508,1764694851968,1764694856507,460,4539
nM3-099,newMachine,1764694887074,1764694896941,1764694897075,9867,134
nM3-100,newMachine,1764694887074,1764694896944,1764694897075,9870,131
nM3-101,newMachine,1764694887074,1764694896950,1764694897075,9876,125
nM3-102,newMachine,1764695444631,1764695452307,1764695454630,7676,2323
nM3-103,newMachine,1764695444631,1764695452310,1764695454630,7679,2320
nM3-104,newMachine,1764695444631,1764695452835,1764695454630,8204,1795
nM3-105,newMachine,1764695444631,1764695452836,1764695454630,8205,1794
nM3-106,newMachine,1764695444631,1764695452849,1764695454630,8218,1781
nM2-107,newMachine,1764695494862,1764695497801,1764695499862,2939,2061
nM2-108,newMachine,1764695494862,1764695497811,1764695499862,2949,2051
nM2-109,newMachine,1764695494862,1764695497811,1764695499862,2949,2051
nM2-110,newMachine,1764695494862,1764695497812,1764695499862,2950,2050
nM2-111,newMachine,1764695494862,1764695497812,1764695499862,2950,2050
nM2-112,newMachine,1764695494862,1764695497813,1764695499862,2951,2049
nM2-113,newMachine,1764695494862,1764695497829,1764695499862,2967,2033
nM2-114,newMachine,1764695494862,1764695497832,1764695499862,2970,2030
nM2-115,newMachine,1764695494862,1764695497832,1764695499862,2970,2030
nM2-116,newMachine,1764695494862,1764695497834,1764695499862,2972,2028
nM2-117,newMachine,1764695494862,1764695497839,1764695499862,2977,2023
nM2-118,newMachine,1764695494862,1764695497841,1764695499862,2979,2021
nM2-119,newMachine,1764695494862,1764695497841,1764695499862,2979,2021
nM2-120,newMachine,1764695494862,1764695497841,1764695499862,2979,2021
nM2-121,newMachine,1764695494862,1764695497841,1764695499862,2979,2021
nM2-122,newMachine,1764695494862,1764695497842,1764695499862,2980,2020
nM2-123,newMachine,1764695494862,1764695497844,1764695499862,2982,2018
nM2-124,newMachine,1764695494862,1764695497845,1764695499862,2983,2017
nM2-125,newMachine,1764695494862,1764695497848,1764695499862,2986,2014
nM3-126,newMachine,1764696088197,1764696097284,1764696098198,9087,914
nM3-127,newMachine,1764696088197,1764696097286,1764696098198,9089,912
nM3-128,newMachine,1764696088197,1764696097822,1764696098198,9625,376
sA-008,storageAlert,1764696118341,1764696118349,1764696120412,8,2063
sA-009,storageAlert,1764696228382,1764696231821,1764696233826,3439,2005
nM0-129,newMachine,1764696230290,1764696232784,1764696235290,2494,2506
nM2-130,newMachine,1764696275752,1764696277284,1764696280753,1532,3469
nM1-131,newMachine,1764696377186,1764696382191,1764696387185,5005,4994
sA-010,storageAlert,1764696668544,1764696673476,1764696673477,4932,1
nM3-132,newMachine,1764696807583,1764696809032,1764696812584,1449,3552
nM2-133,newMachine,1764697370365,1764697370372,1764697375365,7,4993
nM3-134,newMachine,1764697664035,1764697680562,1764697684036,16527,3474
nM3-135,newMachine,1764697664035,1764697680563,1764697684036,16528,3473
nM3-136,newMachine,1764697755410,1764697770113,1764697770411,14703,298
nM3-137,newMachine,1764697755410,1764697770116,1764697770411,14706,295
nM3-138,newMachine,1764697755410,1764697770119,1764697770411,14709,292
nM2-139,newMachine,1764698023864,1764698023870,1764698028864,6,4994
nM4-140,newMachine,1764698054307,1764698054312,1764698059307,5,4995
nM1-141,newMachine,1764698383974,1764698383980,1764698388974,6,4994
nM2-142,newMachine,1764698424468,1764698439628,1764698444470,15160,4842
sA-011,storageAlert,1764699129550,1764699138195,1764699138199,8645,4
nM4-143,newMachine,1764699149813,1764699158376,1764699159814,8563,1438
nM1-144,newMachine,1764699195278,1764699203813,1764699205277,8535,1464
nM1-145,newMachine,1764699195278,1764699203814,1764699205277,8536,1463
nM1-146,newMachine,1764699195278,1764699203814,1764699205277,8536,1463
nM1-147,newMachine,1764699195278,1764699203815,1764699205277,8537,1462
nM1-148,newMachine,1764699195278,1764699203818,1764699205277,8540,1459
nM1-149,newMachine,1764699195278,1764699203819,1764699205277,8541,1458
nM1-150,newMachine,1764699195278,1764699203856,1764699205277,8578,1421
nM1-151,newMachine,1764699195278,1764699203859,1764699205277,8581,1418
nM1-152,newMachine,1764699195278,1764699203865,1764699205277,8587,1412
nM1-153,newMachine,1764699195278,1764699203872,1764699205277,8594,1405
