event_type,5m_1k,5m_2k,5m_3k,5m_4k,3m_1k,3m_2k
machineFailure,4.4243999999999994,5.676090909090909,6.497,7.839538461538462,4.294,11.3484
newMachine,9.500683333333333,10.064113924050632,9.305182608695652,9.57089247311828,8.804978260869566,8.959027777777777
storageAlert,5.780214285714285,4.366,5.996666666666667,4.062333333333333,3.1265714285714283,3.0065
