event_type,5m_1k,5m_2k,3m_1k,3m_2k
machineFailure,981465.0,531261.7857142857,804188.7222222222,2115755.5
newMachine,107783.76923076923,104645.7951807229,107898.5090909091,88072.12121212122
storageAlert,138929.0,111300.66666666667,175254.33333333334,20066.75
