id,type,trigger_ts,reaction_ts,solved_ts,scheduler_latency,machine_latency
nM3-001,newMachine,1764725203291,1764725203348,1764725208292,57,4944
nM0-002,newMachine,1764725203523,1764725203541,1764725208524,18,4983
nM2-003,newMachine,1764725203558,1764725203643,1764725208559,85,4916
nM1-004,newMachine,1764725203606,1764725203637,1764725208607,31,4970
nM4-005,newMachine,1764725203619,1764725203647,1764725208620,28,4973
mF4-001,machineFailure,1764725223620,1764725224883,1764725226899,1263,2016
nM1-006,newMachine,1764725282851,1764725292869,1764725297853,10018,4984
nM2-007,newMachine,1764725288121,1764725290553,1764725293122,2432,2569
mF4-002,machineFailure,1764725307304,1764725311047,1764725313056,3743,2009
nM3-008,newMachine,1764725313401,1764725313410,1764725318401,9,4991
nM4-009,newMachine,1764725436123,1764725436135,1764725441124,12,4989
nM3-010,newMachine,1764725461630,1764725476552,1764725476631,14922,79
nM3-011,newMachine,1764725461630,1764725476556,1764725476631,14926,75
mF1-001,machineFailure,1764725465249,1764725468606,1764725470613,3357,2007
mF4-003,machineFailure,1764725476126,1764725490839,1764725492848,14713,2009
nM0-012,newMachine,1764725492192,1764725492204,1764725497193,12,4989
mF0-001,machineFailure,1764725502193,1764725515840,1764725517851,13647,2011
nM4-013,newMachine,1764725507465,1764725507472,1764725512464,7,4992
mF2-001,machineFailure,1764725513133,1764725515839,1764725517851,2706,2012
sA-001,storageAlert,1764725549247,1764725549258,1764725549261,11,3
nM3-014,newMachine,1764725675570,1764725675583,1764725680571,13,4988
nM2-015,newMachine,1764725727054,1764725727062,1764725732055,8,4993
nM1-016,newMachine,1764725803129,1764725803137,1764725808129,8,4992
mF4-004,machineFailure,1764725879559,1764725884203,1764725886207,4644,2004
nM3-017,newMachine,1764725895015,1764725908608,1764725910017,13593,1409
nM4-018,newMachine,1764725915531,1764725915538,1764725920532,7,4994
nM0-019,newMachine,1764725930808,1764725930816,1764725935808,8,4992
nM4-020,newMachine,1764725951367,1764725956374,1764725961367,5007,4993
nM4-021,newMachine,1764726048235,1764726058243,1764726063235,10008,4992
nM1-022,newMachine,1764726120187,1764726133344,1764726135191,13157,1847
