id,type,trigger_ts,reaction_ts,solved_ts,scheduler_latency,machine_latency
nM1-001,newMachine,1764661770542,1764661770591,1764661775542,49,4951
nM2-002,newMachine,1764661770734,1764661770777,1764661775734,43,4957
nM0-003,newMachine,1764661770741,1764661770784,1764661775742,43,4958
mF0-001,machineFailure,1764661780742,1764661783960,1764661785977,3218,2017
mF1-001,machineFailure,1764661800543,1764661804167,1764661806178,3624,2011
nM2-004,newMachine,1764662377750,1764662377758,1764662382750,8,4992
nM2-005,newMachine,1764662580833,1764662580972,1764662585834,139,4862
nM2-006,newMachine,1764662804291,1764662804298,1764662809290,7,4992
nM2-007,newMachine,1764662926332,1764662926340,1764662931331,8,4991
nM0-008,newMachine,1764662956552,1764662975795,1764662976553,19243,758
nM2-016,newMachine,1764663226005,1764663226012,1764663231004,7,4992
nM0-017,newMachine,1764663606935,1764663614489,1764663616936,7554,2447
nM2-021,newMachine,1764663992340,1764664000077,1764664002342,7737,2265
nM1-022,newMachine,1764664073604,1764664073612,1764664078605,8,4993
nM2-023,newMachine,1764664317111,1764664317118,1764664322111,7,4993
nM2-024,newMachine,1764664499999,1764664518634,1764664520001,18635,1367
nM0-025,newMachine,1764664646875,1764664656635,1764664656876,9760,241
sA-001,storageAlert,1764664796890,1764664797798,1764664797802,908,4
nM2-041,newMachine,1764665169502,1764665170580,1764665174503,1078,3923
sA-002,storageAlert,1764665196981,1764665196993,1764665196998,12,5
nM1-044,newMachine,1764665210298,1764665221591,1764665225300,11293,3709
nM1-046,newMachine,1764665478720,1764665491589,1764665493722,12869,2133
nM1-059,newMachine,1764665590242,1764665590248,1764665595242,6,4994
nM2-060,newMachine,1764665803468,1764665816624,1764665818468,13156,1844
sA-003,storageAlert,1764666237162,1764666242786,1764666242789,5624,3
nM1-065,newMachine,1764666395997,1764666401182,1764666405998,5185,4816
mF2-001,machineFailure,1764666463506,1764666465343,1764666467350,1837,2007
sA-004,storageAlert,1764666487204,1764666490657,1764666490659,3453,2
nM2-084,newMachine,1764666487259,1764666490663,1764666492259,3404,1596
nM2-085,newMachine,1764666527950,1764666544635,1764666547952,16685,3317
nM2-086,newMachine,1764666861909,1764666861916,1764666866910,7,4994
nM0-087,newMachine,1764667104576,1764667104581,1764667109576,5,4995
nM0-088,newMachine,1764667135052,1764667140058,1764667145053,5006,4995
nM2-089,newMachine,1764667504604,1764667512555,1764667514604,7951,2049
nM1-102,newMachine,1764667555305,1764667563550,1764667565306,8245,1756
sA-005,storageAlert,1764667577409,1764667577415,1764667577417,6,2
nM0-104,newMachine,1764667651459,1764667656466,1764667661460,5007,4994
mF2-002,machineFailure,1764668176457,1764668181067,1764668183072,4610,2005
mF0-002,machineFailure,1764668332624,1764668332785,1764668334792,161,2007
sA-006,storageAlert,1764668807687,1764668807697,1764668809702,10,2005
nM1-105,newMachine,1764668962879,1764668970067,1764668972879,7188,2812
nM2-109,newMachine,1764669008357,1764669020550,1764669023358,12193,2808
nM0-113,newMachine,1764669038791,1764669038797,1764669043791,6,4994
nM0-114,newMachine,1764669069236,1764669069243,1764669074236,7,4993
nM1-115,newMachine,1764669591040,1764669607059,1764669611042,16019,3983
nM2-117,newMachine,1764669662052,1764669662058,1764669667052,6,4994
nM2-118,newMachine,1764669697496,1764669697502,1764669702497,6,4995
nM2-119,newMachine,1764670513403,1764670513412,1764670518404,9,4992
sA-007,storageAlert,1764670558167,1764670568018,1764670568019,9851,1
mF1-002,machineFailure,1764670612921,1764670613178,1764670615188,257,2010
nM1-120,newMachine,1764670645006,1764670658802,1764670660008,13796,1206
nM0-121,newMachine,1764670746255,1764670748827,1764670751256,2572,2429
nM0-122,newMachine,1764670852583,1764670852591,1764670857584,8,4993
nM0-123,newMachine,1764670943415,1764670953269,1764670953416,9854,147
nM2-124,newMachine,1764670994256,1764670999261,1764671004253,5005,4992
nM0-125,newMachine,1764671039671,1764671043302,1764671044672,3631,1370
nM0-127,newMachine,1764671627950,1764671638127,1764671642951,10177,4824
nM1-130,newMachine,1764671673172,1764671673178,1764671678172,6,4994
nM0-131,newMachine,1764673218010,1764673218017,1764673223011,7,4994
