event_id,event_type,trigger_ts,trigger_source,reaction_ts,reaction_type,solved_ts,related_machine_id,related_alert_id,resolution_time_ms,total_response_time_ms,metadata
newMachine:machine_2:1763909785926,newMachine,1763909785926,cutting_machine_discovery,1763909785965,AssignBlade,1763909790926,2,,39,5000,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_1:1763909786009,newMachine,1763909786009,cutting_machine_discovery,1763909786021,AssignBlade,1763909791009,1,,12,5000,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_0:1763909786019,newMachine,1763909786019,cutting_machine_discovery,1763909786033,AssignBlade,1763909791020,0,,14,5001,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_2:1763909810929,machineFailure,1763909810929,heartbeat_monitor,1763909822331,SwapBlade,1763909824336,2,,11402,13407,"{""swap_target_machine"": 1}"
storageAlert:125ff6e6-4069-49cc-bb5b-eccefe07b488:problem_A:1763909825245,storageAlert,1763909825245,dbInterface,1763909825310,SwapBlade,1763909916513,,125ff6e6-4069-49cc-bb5b-eccefe07b488,65,91268,"{""triggerTs"": 1763909825245, ""bDry"": 84.0, ""problemCategory"": ""A"", ""bFresh"": 57.0, ""aDry"": 34.0, ""aFresh"": 25.0, ""alertId"": ""125ff6e6-4069-49cc-bb5b-eccefe07b488"", ""title"": ""StorageAlert"", ""_collected_at"": 1763909825306}"
machineFailure:machine_1:1763909831013,machineFailure,1763909831013,heartbeat_monitor,1763909869296,SwapBlade,1763909871302,1,,38283,40289,"{""swap_target_machine"": 0}"
newMachine:machine_2:1763909840270,newMachine,1763909840270,cutting_machine_discovery,1763909856946,AssignBlade,1763909906228,2,,16676,65958,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_1:1763909865760,newMachine,1763909865760,cutting_machine_discovery,1763909911500,AssignBlade,1763909916492,1,,45740,50732,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_1:1763909875758,machineFailure,1763909875758,heartbeat_monitor,1763913096885,SwapBlade,1763913098890,1,,3221127,3223132,"{""swap_target_machine"": 2}"
machineFailure:machine_0:1763909906025,machineFailure,1763909906025,heartbeat_monitor,1763913312571,SwapBlade,1763913674483,0,,3406546,3768458,"{""swap_target_machine"": 1}"
