id,type,trigger_ts,reaction_ts,solved_ts,scheduler_latency,machine_latency
nM2-001,newMachine,1764673824597,1764673824637,1764673829598,40,4961
nM0-002,newMachine,1764673824690,1764673824723,1764673829691,33,4968
nM1-003,newMachine,1764673824706,1764673824729,1764673829707,23,4978
nM0-004,newMachine,1764673877205,1764673895972,1764673897206,18767,1234
nM1-005,newMachine,1764673907888,1764673922897,1764673927890,15009,4993
nM1-006,newMachine,1764673963787,1764673963794,1764673968786,7,4992
sA-001,storageAlert,1764674234361,1764674234368,1764674236375,7,2007
nM2-007,newMachine,1764674263792,1764674263800,1764674268791,8,4991
nM0-008,newMachine,1764675164208,1764675164215,1764675169208,7,4993
nM2-009,newMachine,1764675204440,1764675212186,1764675214441,7746,2255
nM0-017,newMachine,1764675224944,1764675229949,1764675234944,5005,4995
mF2-001,machineFailure,1764675459504,1764675478603,1764675480610,19099,2007
nM2-018,newMachine,1764675566344,1764675572447,1764675576345,6103,3898
nM2-021,newMachine,1764675668502,1764675672474,1764675673502,3972,1028
nM2-023,newMachine,1764676100921,1764676105258,1764676105922,4337,664
nM2-041,newMachine,1764676136351,1764676153311,1764676156354,16960,3043
nM0-044,newMachine,1764676487969,1764676507860,1764676507971,19891,111
nM0-061,newMachine,1764676564335,1764676564376,1764676569336,41,4960
nM2-063,newMachine,1764676788191,1764676799355,1764676803193,11164,3838
nM0-070,newMachine,1764676833915,1764676833923,1764676838916,8,4993
nM2-071,newMachine,1764676864370,1764676869377,1764676874371,5007,4994
sA-002,storageAlert,1764677004705,1764677005745,1764677005748,1040,3
mF2-002,machineFailure,1764677092531,1764677096423,1764677098431,3892,2008
sA-003,storageAlert,1764677478101,1764677478109,1764677478111,8,2
sA-004,storageAlert,1764677898156,1764677898165,1764677898167,9,2
nM0-072,newMachine,1764678064636,1764678064643,1764678069637,7,4994
nM2-073,newMachine,1764678105390,1764678106983,1764678110390,1593,3407
nM0-076,newMachine,1764678722066,1764678722073,1764678727066,7,4993
nM0-077,newMachine,1764678808599,1764678808607,1764678813600,8,4993
nM0-078,newMachine,1764679394895,1764679398588,1764679399896,3693,1308
nM0-094,newMachine,1764679435596,1764679449646,1764679450598,14050,952
nM0-097,newMachine,1764679710942,1764679715359,1764679715943,4417,584
nM2-098,newMachine,1764679756681,1764679760833,1764679761681,4152,848
nM1-111,newMachine,1764679787161,1764679804841,1764679807161,17680,2320
nM2-114,newMachine,1764679812719,1764679822726,1764679827720,10007,4994
nM1-115,newMachine,1764679939929,1764679940809,1764679944928,880,4119
nM0-116,newMachine,1764680281588,1764680285925,1764680286589,4337,664
sA-005,storageAlert,1764680328691,1764680330924,1764680333081,2233,2157
nM0-120,newMachine,1764680546230,1764680560946,1764680561232,14716,286
nM0-125,newMachine,1764680744675,1764680744682,1764680749676,7,4994
nM2-126,newMachine,1764680795652,1764680795661,1764680800653,9,4992
nM2-127,newMachine,1764681131532,1764681131539,1764681136533,7,4994
nM1-128,newMachine,1764681752565,1764681752571,1764681757565,6,4994
nM1-129,newMachine,1764681843943,1764681843950,1764681848943,7,4993
sA-006,storageAlert,1764681918927,1764681924152,1764681926163,5225,2011
mF0-001,machineFailure,1764681933277,1764681937384,1764681939389,4107,2005
nM0-130,newMachine,1764681966326,1764681969144,1764681971327,2818,2183
nM0-137,newMachine,1764682088383,1764682104176,1764682108383,15793,4207
nM1-140,newMachine,1764682118856,1764682123862,1764682128857,5006,4995
nM2-141,newMachine,1764682134100,1764682148681,1764682149102,14581,421
nM0-143,newMachine,1764682164536,1764682164543,1764682169537,7,4994
nM2-144,newMachine,1764682174776,1764682174784,1764682179777,8,4993
sA-007,storageAlert,1764682198987,1764682198993,1764682198994,6,1
nM0-145,newMachine,1764682337567,1764682353144,1764682357568,15577,4424
nM1-147,newMachine,1764682362830,1764682362838,1764682367831,8,4993
nM1-148,newMachine,1764682546391,1764682554026,1764682556391,7635,2365
nM1-149,newMachine,1764682934868,1764682939883,1764682944869,5015,4986
nM2-150,newMachine,1764683154714,1764683154723,1764683159715,9,4992
nM0-151,newMachine,1764683169975,1764683174983,1764683179976,5008,4993
nM0-152,newMachine,1764683465871,1764683467377,1764683470871,1506,3494
nM2-153,newMachine,1764683481375,1764683481383,1764683486376,8,4993
nM0-154,newMachine,1764683516637,1764683522348,1764683526638,5711,4290
nM2-156,newMachine,1764683562388,1764683570337,1764683572386,7949,2049
nM1-158,newMachine,1764683582873,1764683582880,1764683587873,7,4993
nM2-159,newMachine,1764683623533,1764683628539,1764683633533,5006,4994
nM1-160,newMachine,1764683638989,1764683643997,1764683648990,5008,4993
sA-008,storageAlert,1764683679308,1764683688647,1764683688649,9339,2
mF0-002,machineFailure,1764683738093,1764683738632,1764683740639,539,2007
mF1-001,machineFailure,1764683765907,1764683784974,1764683786985,19067,2011
nM0-161,newMachine,1764683781505,1764683781513,1764683786505,8,4992
nM2-162,newMachine,1764683811996,1764683831408,1764683831998,19412,590
nM0-165,newMachine,1764683837483,1764683837489,1764683842482,6,4993
nM0-166,newMachine,1764684132729,1764684132736,1764684137730,7,4994
nM0-167,newMachine,1764684208978,1764684223989,1764684228980,15011,4991
nM2-168,newMachine,1764684474187,1764684475675,1764684479187,1488,3512
nM0-174,newMachine,1764684565736,1764684566852,1764684570736,1116,3884
nM1-177,newMachine,1764684606476,1764684606483,1764684611477,7,4994
nM1-178,newMachine,1764684703226,1764684718234,1764684723227,15008,4993
nM1-179,newMachine,1764684759454,1764684769462,1764684774452,10008,4990
nM0-180,newMachine,1764684794953,1764684803652,1764684804955,8699,1303
nM1-189,newMachine,1764684810435,1764684810442,1764684815435,7,4993
nM2-190,newMachine,1764684845906,1764684854690,1764684855907,8784,1217
nM0-191,newMachine,1764684861468,1764684866476,1764684871469,5008,4993
nM1-192,newMachine,1764684973430,1764684973436,1764684978430,6,4994
nM0-193,newMachine,1764685396034,1764685400629,1764685401035,4595,406
