id,type,trigger_ts,reaction_ts,solved_ts,scheduler_latency,machine_latency
nM3-001,newMachine,1764701089967,1764701090008,1764701094966,41,4958
nM0-002,newMachine,1764701090080,1764701090110,1764701095080,30,4970
nM1-003,newMachine,1764701090147,1764701090164,1764701095146,17,4982
nM4-004,newMachine,1764701090192,1764701090220,1764701095192,28,4972
nM2-005,newMachine,1764701090228,1764701090277,1764701095228,49,4951
nM4-006,newMachine,1764701187940,1764701199256,1764701202941,11316,3685
sA-001,storageAlert,1764701194857,1764701198754,1764701198759,3897,5
mF2-001,machineFailure,1764701200233,1764701210694,1764701212705,10461,2011
nM0-007,newMachine,1764701590677,1764701590685,1764701595677,8,4992
nM3-008,newMachine,1764701616046,1764701629221,1764701631048,13175,1827
nM3-009,newMachine,1764701616046,1764701629224,1764701631048,13178,1824
nM3-010,newMachine,1764701616046,1764701629225,1764701631048,13179,1823
nM2-011,newMachine,1764701631401,1764701636408,1764701641401,5007,4993
nM3-012,newMachine,1764702116057,1764702123771,1764702126058,7714,2287
nM3-013,newMachine,1764702116057,1764702123776,1764702126058,7719,2282
nM3-014,newMachine,1764702116057,1764702123778,1764702126058,7721,2280
nM3-015,newMachine,1764702116057,1764702123779,1764702126058,7722,2279
nM3-016,newMachine,1764702116057,1764702123780,1764702126058,7723,2278
nM3-017,newMachine,1764702116057,1764702123780,1764702126058,7723,2278
nM3-018,newMachine,1764702116057,1764702123785,1764702126058,7728,2273
nM3-019,newMachine,1764702116057,1764702123786,1764702126058,7729,2272
nM3-020,newMachine,1764702116057,1764702123790,1764702126058,7733,2268
nM3-021,newMachine,1764702116057,1764702123794,1764702126058,7737,2264
nM3-022,newMachine,1764702116057,1764702123794,1764702126058,7737,2264
nM3-023,newMachine,1764702116057,1764702123795,1764702126058,7738,2263
nM3-024,newMachine,1764702116057,1764702123800,1764702126058,7743,2258
nM3-025,newMachine,1764702116057,1764702123800,1764702126058,7743,2258
nM3-026,newMachine,1764702116057,1764702123801,1764702126058,7744,2257
nM3-027,newMachine,1764702116057,1764702123801,1764702126058,7744,2257
nM3-028,newMachine,1764702116057,1764702123806,1764702126058,7749,2252
nM3-029,newMachine,1764702116057,1764702123807,1764702126058,7750,2251
nM3-030,newMachine,1764702116057,1764702123809,1764702126058,7752,2249
nM3-031,newMachine,1764702116057,1764702123817,1764702126058,7760,2241
mF3-001,machineFailure,1764702136059,1764702137668,1764702139673,1609,2005
nM4-032,newMachine,1764702146530,1764702146537,1764702151531,7,4994
mF1-001,machineFailure,1764702160350,1764702162669,1764702164674,2319,2005
nM4-033,newMachine,1764702462024,1764702462113,1764702467024,89,4911
nM4-034,newMachine,1764702462024,1764702462114,1764702467024,90,4910
nM4-035,newMachine,1764702462024,1764702462115,1764702467024,91,4909
nM4-036,newMachine,1764702462024,1764702462115,1764702467024,91,4909
nM4-037,newMachine,1764702462024,1764702462116,1764702467024,92,4908
nM4-038,newMachine,1764702462024,1764702462118,1764702467024,94,4906
nM4-039,newMachine,1764702462024,1764702462118,1764702467024,94,4906
nM4-040,newMachine,1764702462024,1764702462121,1764702467024,97,4903
nM4-041,newMachine,1764702462024,1764702462121,1764702467024,97,4903
nM4-042,newMachine,1764702462024,1764702462121,1764702467024,97,4903
nM4-043,newMachine,1764702462024,1764702462122,1764702467024,98,4902
nM4-044,newMachine,1764702462024,1764702462123,1764702467024,99,4901
nM4-045,newMachine,1764702462024,1764702462125,1764702467024,101,4899
nM4-046,newMachine,1764702462024,1764702462125,1764702467024,101,4899
nM4-047,newMachine,1764702462024,1764702462125,1764702467024,101,4899
nM4-048,newMachine,1764702462024,1764702462126,1764702467024,102,4898
nM4-049,newMachine,1764702462024,1764702462126,1764702467024,102,4898
nM4-050,newMachine,1764702462024,1764702462131,1764702467024,107,4893
sA-002,storageAlert,1764703175178,1764703183884,1764703183890,8706,6
nM4-051,newMachine,1764703200293,1764703214082,1764703215294,13789,1212
sA-003,storageAlert,1764703275192,1764703275673,1764703275676,481,3
nM2-052,newMachine,1764703872785,1764703880084,1764703882784,7299,2700
nM2-053,newMachine,1764703872785,1764703880085,1764703882784,7300,2699
nM2-054,newMachine,1764703872785,1764703880089,1764703882784,7304,2695
nM1-055,newMachine,1764704988515,1764705006220,1764705008516,17705,2296
nM1-056,newMachine,1764704988515,1764705006225,1764705008516,17710,2291
