id,type,trigger_ts,reaction_ts,solved_ts,scheduler_latency,machine_latency
nM3-165,newMachine,1764720115549,1764720121520,1764720125551,5971,4031
nM1-168,newMachine,1764720156451,1764720166512,1764720171453,10061,4941
nM3-169,newMachine,1764720202559,1764720211510,1764720212560,8951,1050
nM3-171,newMachine,1764720248659,1764720256519,1764720258660,7860,2141
nM2-173,newMachine,1764720294484,1764720301519,1764720304486,7035,2967
nM3-176,newMachine,1764720534691,1764720536534,1764720539692,1843,3158
nM4-187,newMachine,1764720744644,1764720758736,1764720759647,14092,911
nM1-192,newMachine,1764720765219,1764720770231,1764720775219,5012,4988
nM3-193,newMachine,1764720790484,1764720803690,1764720805485,13206,1795
nM1-202,newMachine,1764720816047,1764720816053,1764720821047,6,4994
nM4-203,newMachine,1764720846352,1764720851680,1764720856354,5328,4674
nM2-205,newMachine,1764720851886,1764720856892,1764720861887,5006,4995
nM3-206,newMachine,1764720862145,1764720867155,1764720872146,5010,4991
nM1-207,newMachine,1764721041024,1764721041030,1764721046022,6,4992
nM2-208,newMachine,1764721464793,1764721484677,1764721484796,19884,119
nM1-218,newMachine,1764721531264,1764721531285,1764721536265,21,4980
nM4-219,newMachine,1764721582024,1764721589229,1764721592023,7205,2794
nM2-221,newMachine,1764721597598,1764721602606,1764721607599,5008,4993
nM1-222,newMachine,1764721775889,1764721775897,1764721780890,8,4993
mF0-003,machineFailure,1764722112655,1764722116882,1764722118889,4227,2007
nM2-223,newMachine,1764722385719,1764722385725,1764722390718,6,4993
nM3-224,newMachine,1764722426522,1764722431530,1764722436523,5008,4993
nM3-225,newMachine,1764722554414,1764722564806,1764722569414,10392,4608
nM1-237,newMachine,1764722646084,1764722654254,1764722656085,8170,1831
nM2-245,newMachine,1764722794146,1764722799153,1764722804148,5007,4995
nM3-246,newMachine,1764722988566,1764723004841,1764723008567,16275,3726
nM3-248,newMachine,1764723039689,1764723049409,1764723049688,9720,279
mF0-004,machineFailure,1764723057577,1764723059904,1764723061909,2327,2005
mF3-005,machineFailure,1764723059690,1764723059904,1764723061909,214,2005
nM1-252,newMachine,1764723228639,1764723229839,1764723233637,1200,3798
nM0-254,newMachine,1764723274804,1764723274837,1764723279805,33,4968
nM1-255,newMachine,1764723565812,1764723573221,1764723575814,7409,2593
nM0-260,newMachine,1764723571134,1764723573217,1764723576134,2083,2917
nM1-276,newMachine,1764723636963,1764723636971,1764723641965,8,4994
nM2-277,newMachine,1764723969526,1764723974533,1764723979526,5007,4993
nM3-278,newMachine,1764724035833,1764724053319,1764724055835,17486,2516
nM4-298,newMachine,1764724061709,1764724071716,1764724076709,10007,4993
nM1-299,newMachine,1764724429751,1764724429762,1764724434752,11,4990
nM1-300,newMachine,1764724506374,1764724513786,1764724516375,7412,2589
nM0-301,newMachine,1764724608051,1764724608058,1764724613050,7,4992
nM4-302,newMachine,1764724628577,1764724628584,1764724633578,7,4994
nM0-303,newMachine,1764724643836,1764724643845,1764724648836,9,4991
nM3-304,newMachine,1764724766201,1764724768425,1764724771201,2224,2776
nM1-305,newMachine,1764724781543,1764724796555,1764724801545,15012,4990
nM1-306,newMachine,1764724919374,1764724924410,1764724929376,5036,4966
