id,type,trigger_ts,reaction_ts,solved_ts,scheduler_latency,machine_latency
nM2-001,newMachine,1764673824597,1764673824637,1764673829598,40,4961
nM0-002,newMachine,1764673824690,1764673824723,1764673829691,33,4968
nM1-003,newMachine,1764673824706,1764673824729,1764673829707,23,4978
nM0-004,newMachine,1764673877205,1764673895972,1764673897206,18767,1234
nM1-005,newMachine,1764673907888,1764673922897,1764673927890,15009,4993
nM1-006,newMachine,1764673963787,1764673963794,1764673968786,7,4992
sA-001,storageAlert,1764674234361,1764674234368,1764674236375,7,2007
nM2-007,newMachine,1764674263792,1764674263800,1764674268791,8,4991
nM0-008,newMachine,1764675164208,1764675164215,1764675169208,7,4993
nM2-009,newMachine,1764675204440,1764675212186,1764675214441,7746,2255
nM2-010,newMachine,1764675204440,1764675212188,1764675214441,7748,2253
nM2-011,newMachine,1764675204440,1764675212189,1764675214441,7749,2252
nM2-012,newMachine,1764675204440,1764675212189,1764675214441,7749,2252
nM2-013,newMachine,1764675204440,1764675212218,1764675214441,7778,2223
nM2-014,newMachine,1764675204440,1764675212220,1764675214441,7780,2221
nM2-015,newMachine,1764675204440,1764675212221,1764675214441,7781,2220
nM2-016,newMachine,1764675204440,1764675212221,1764675214441,7781,2220
nM0-017,newMachine,1764675224944,1764675229949,1764675234944,5005,4995
mF2-001,machineFailure,1764675459504,1764675478603,1764675480610,19099,2007
nM2-018,newMachine,1764675566344,1764675572447,1764675576345,6103,3898
nM2-019,newMachine,1764675566344,1764675572447,1764675576345,6103,3898
nM2-020,newMachine,1764675566344,1764675572452,1764675576345,6108,3893
nM2-021,newMachine,1764675668502,1764675672474,1764675673502,3972,1028
nM2-022,newMachine,1764675668502,1764675672480,1764675673502,3978,1022
nM2-023,newMachine,1764676100921,1764676105258,1764676105922,4337,664
nM2-024,newMachine,1764676100921,1764676105261,1764676105922,4340,661
nM2-025,newMachine,1764676100921,1764676105266,1764676105922,4345,656
nM2-026,newMachine,1764676100921,1764676105266,1764676105922,4345,656
nM2-027,newMachine,1764676100921,1764676105267,1764676105922,4346,655
nM2-028,newMachine,1764676100921,1764676105269,1764676105922,4348,653
nM2-029,newMachine,1764676100921,1764676105270,1764676105922,4349,652
nM2-030,newMachine,1764676100921,1764676105272,1764676105922,4351,650
nM2-031,newMachine,1764676100921,1764676105272,1764676105922,4351,650
nM2-032,newMachine,1764676100921,1764676105303,1764676105922,4382,619
nM2-033,newMachine,1764676100921,1764676105303,1764676105922,4382,619
nM2-034,newMachine,1764676100921,1764676105303,1764676105922,4382,619
nM2-035,newMachine,1764676100921,1764676105304,1764676105922,4383,618
nM2-036,newMachine,1764676100921,1764676105310,1764676105922,4389,612
nM2-037,newMachine,1764676100921,1764676105311,1764676105922,4390,611
nM2-038,newMachine,1764676100921,1764676105311,1764676105922,4390,611
nM2-039,newMachine,1764676100921,1764676105314,1764676105922,4393,608
nM2-040,newMachine,1764676100921,1764676105314,1764676105922,4393,608
nM2-041,newMachine,1764676136351,1764676153311,1764676156354,16960,3043
nM2-042,newMachine,1764676136351,1764676153312,1764676156354,16961,3042
nM2-043,newMachine,1764676136351,1764676153312,1764676156354,16961,3042
nM0-044,newMachine,1764676487969,1764676507860,1764676507971,19891,111
nM0-045,newMachine,1764676487969,1764676507860,1764676507971,19891,111
nM0-046,newMachine,1764676487969,1764676507862,1764676507971,19893,109
nM0-047,newMachine,1764676487969,1764676507862,1764676507971,19893,109
nM0-048,newMachine,1764676487969,1764676507862,1764676507971,19893,109
nM0-049,newMachine,1764676487969,1764676507863,1764676507971,19894,108
nM0-050,newMachine,1764676487969,1764676507863,1764676507971,19894,108
nM0-051,newMachine,1764676487969,1764676507867,1764676507971,19898,104
nM0-052,newMachine,1764676487969,1764676507875,1764676507971,19906,96
nM0-053,newMachine,1764676487969,1764676507876,1764676507971,19907,95
nM0-054,newMachine,1764676487969,1764676507877,1764676507971,19908,94
nM0-055,newMachine,1764676487969,1764676507877,1764676507971,19908,94
nM0-056,newMachine,1764676487969,1764676507878,1764676507971,19909,93
nM0-057,newMachine,1764676487969,1764676507878,1764676507971,19909,93
nM0-058,newMachine,1764676487969,1764676507891,1764676507971,19922,80
nM0-059,newMachine,1764676487969,1764676507893,1764676507971,19924,78
nM0-060,newMachine,1764676487969,1764676507894,1764676507971,19925,77
nM0-061,newMachine,1764676564335,1764676564376,1764676569336,41,4960
nM0-062,newMachine,1764676564335,1764676564789,1764676569336,454,4547
nM2-063,newMachine,1764676788191,1764676799355,1764676803193,11164,3838
nM2-064,newMachine,1764676788191,1764676799356,1764676803193,11165,3837
nM2-065,newMachine,1764676788191,1764676799369,1764676803193,11178,3824
nM2-066,newMachine,1764676788191,1764676799370,1764676803193,11179,3823
nM2-067,newMachine,1764676788191,1764676799372,1764676803193,11181,3821
nM2-068,newMachine,1764676788191,1764676799373,1764676803193,11182,3820
nM2-069,newMachine,1764676788191,1764676799376,1764676803193,11185,3817
nM0-070,newMachine,1764676833915,1764676833923,1764676838916,8,4993
nM2-071,newMachine,1764676864370,1764676869377,1764676874371,5007,4994
sA-002,storageAlert,1764677004705,1764677005745,1764677005748,1040,3
mF2-002,machineFailure,1764677092531,1764677096423,1764677098431,3892,2008
sA-003,storageAlert,1764677478101,1764677478109,1764677478111,8,2
sA-004,storageAlert,1764677898156,1764677898165,1764677898167,9,2
nM0-072,newMachine,1764678064636,1764678064643,1764678069637,7,4994
nM2-073,newMachine,1764678105390,1764678106983,1764678110390,1593,3407
nM2-074,newMachine,1764678105390,1764678106986,1764678110390,1596,3404
nM2-075,newMachine,1764678105390,1764678106987,1764678110390,1597,3403
nM0-076,newMachine,1764678722066,1764678722073,1764678727066,7,4993
nM0-077,newMachine,1764678808599,1764678808607,1764678813600,8,4993
nM0-078,newMachine,1764679394895,1764679398588,1764679399896,3693,1308
nM0-079,newMachine,1764679394895,1764679398593,1764679399896,3698,1303
nM0-080,newMachine,1764679394895,1764679398595,1764679399896,3700,1301
nM0-081,newMachine,1764679394895,1764679398595,1764679399896,3700,1301
nM0-082,newMachine,1764679394895,1764679398595,1764679399896,3700,1301
nM0-083,newMachine,1764679394895,1764679398598,1764679399896,3703,1298
nM0-084,newMachine,1764679394895,1764679398598,1764679399896,3703,1298
nM0-085,newMachine,1764679394895,1764679398607,1764679399896,3712,1289
nM0-086,newMachine,1764679394895,1764679398608,1764679399896,3713,1288
nM0-087,newMachine,1764679394895,1764679398611,1764679399896,3716,1285
nM0-088,newMachine,1764679394895,1764679398613,1764679399896,3718,1283
nM0-089,newMachine,1764679394895,1764679398614,1764679399896,3719,1282
nM0-090,newMachine,1764679394895,1764679398622,1764679399896,3727,1274
nM0-091,newMachine,1764679394895,1764679398622,1764679399896,3727,1274
nM0-092,newMachine,1764679394895,1764679398622,1764679399896,3727,1274
nM0-093,newMachine,1764679394895,1764679398624,1764679399896,3729,1272
nM0-094,newMachine,1764679435596,1764679449646,1764679450598,14050,952
nM0-095,newMachine,1764679435596,1764679449659,1764679450598,14063,939
nM0-096,newMachine,1764679435596,1764679449659,1764679450598,14063,939
nM0-097,newMachine,1764679710942,1764679715359,1764679715943,4417,584
nM2-098,newMachine,1764679756681,1764679760833,1764679761681,4152,848
nM2-099,newMachine,1764679756681,1764679760836,1764679761681,4155,845
